Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing-sqrt,RMSE,6.4489,0.26
Exponential Smoothing,MAPE,0.0655,0.27
Exponential Smoothing,MAD,3.5467,0.27
Exponential Smoothing,RMSE,6.4436,0.27
Exponential Smoothing-log,MAPE,0.0659,0.27
Exponential Smoothing-log,MAD,3.5647,0.27
Exponential Smoothing-log,RMSE,6.4575,0.27
Exponential Smoothing-sqrt,MAPE,0.0657,0.27
Exponential Smoothing-sqrt,MAD,3.5556,0.27
Exponential Smoothing-sqrt,RMSE,6.4505,0.27
Exponential Smoothing,MAPE,0.0656,0.28
Exponential Smoothing,MAD,3.5479,0.28
Exponential Smoothing,RMSE,6.4446,0.28
Exponential Smoothing-log,MAPE,0.0659,0.28
Exponential Smoothing-log,MAD,3.5658,0.28
Exponential Smoothing-log,RMSE,6.4582,0.28
Exponential Smoothing-sqrt,MAPE,0.0657,0.28
Exponential Smoothing-sqrt,MAD,3.5567,0.28
Exponential Smoothing-sqrt,RMSE,6.4514,0.28
Exponential Smoothing,MAPE,0.0656,0.29
Exponential Smoothing,MAD,3.5482,0.29
Exponential Smoothing,RMSE,6.4448,0.29
Exponential Smoothing-log,MAPE,0.0659,0.29
Exponential Smoothing-log,MAD,3.5658,0.29
Exponential Smoothing-log,RMSE,6.4582,0.29
Exponential Smoothing-sqrt,MAPE,0.0657,0.29
Exponential Smoothing-sqrt,MAD,3.5569,0.29
Exponential Smoothing-sqrt,RMSE,6.4515,0.29
Exponential Smoothing,MAPE,0.0656,0.3
Exponential Smoothing,MAD,3.5476,0.3
Exponential Smoothing,RMSE,6.4443,0.3
Exponential Smoothing-log,MAPE,0.0659,0.3
Exponential Smoothing-log,MAD,3.5649,0.3
Exponential Smoothing-log,RMSE,6.4576,0.3
Exponential Smoothing-sqrt,MAPE,0.0657,0.3
Exponential Smoothing-sqrt,MAD,3.5561,0.3
Exponential Smoothing-sqrt,RMSE,6.4509,0.3
Exponential Smoothing,MAPE,0.0655,0.31
Exponential Smoothing,MAD,3.5462,0.31
Exponential Smoothing,RMSE,6.4433,0.31
Exponential Smoothing-log,MAPE,0.0659,0.31
Exponential Smoothing-log,MAD,3.5631,0.31
Exponential Smoothing-log,RMSE,6.4563,0.31
Exponential Smoothing-sqrt,MAPE,0.0657,0.31
Exponential Smoothing-sqrt,MAD,3.5546,0.31
Exponential Smoothing-sqrt,RMSE,6.4498,0.31
Exponential Smoothing,MAPE,0.0655,0.32
Exponential Smoothing,MAD,3.5441,0.32
Exponential Smoothing,RMSE,6.4416,0.32
Exponential Smoothing-log,MAPE,0.0658,0.32
Exponential Smoothing-log,MAD,3.5607,0.32
Exponential Smoothing-log,RMSE,6.4544,0.32
Exponential Smoothing-sqrt,MAPE,0.0657,0.32
Exponential Smoothing-sqrt,MAD,3.5524,0.32
Exponential Smoothing-sqrt,RMSE,6.448,0.32
Exponential Smoothing,MAPE,0.0654,0.33
